Dist, Size, MSTime, MSComp, HSTime, HSComp, QSTime, QSComp, QSRec, ISTime, ISComp, ISRec
Ordered,1000,0,9488,0,8813,0,11127,1333,0,6942,127
Random,1000,0,9488,0,8436,0,10760,1328,0,10761,179
Quarter_sorted,1000,0,9488,0,8458,0,11041,1343,0,10920,183
Poisson,1000,0,9488,0,8429,0,14218,1806,0,9837,287
Ordered,10000,1,129520,3,122288,1,155020,13325,1,108986,2047
Random,10000,2,129520,2,117673,2,157389,13327,2,145951,1907
Quarter_sorted,10000,2,129520,2,118501,1,156203,13327,1,150494,1895
Poisson,10000,2,129520,2,117741,3,300505,19222,2,220004,6621
Ordered,50000,5,767232,12,727738,8,963490,66722,4,645916,8191
Random,50000,11,767232,15,704874,10,942034,66659,9,900071,9535
Quarter_sorted,50000,10,767232,14,710018,10,948696,66687,8,863137,9611
Poisson,50000,9,767232,15,704895,27,2862505,98098,14,1445977,23829
Ordered,500000,69,9237856,148,8922789,90,11728165,666789,46,7967247,65535
Random,500000,124,9237856,224,8698341,120,11717068,666740,100,10948837,95421
Quarter_sorted,500000,112,9237856,214,8756538,116,11646224,666774,97,11004675,95707
Poisson,500000,109,9237856,213,8698163,695,77807244,993269,166,18434759,111023
Ordered,1000000,143,19475712,311,18864660,181,24734166,1333251,98,16934480,131071
Random,1000000,262,19475712,531,18397212,250,24749817,1333351,221,23488561,190451
Quarter_sorted,1000000,236,19475712,520,18374804,246,24981832,1333354,207,23118366,191203
Poisson,1000000,230,19475712,480,18398034,1896,214373927,1990166,356,39132588,179211
